theme_final,platform,created_at,likes,predicted_negative_prob,text
app_experience,google_play,2022-04-01 17:53:02,0,0.9957411582810194,"Horrible I have ordered food through this horrible App . I waited for my food for exactly and hour 46 minutes . Even their system is showing that it's confirmed. Once I called the restaurant, they said sorry sir your order just confirmed now ( which is and hour after ) It's the worst experience I have ever had , I already deleted the App & will never ever use it again"
app_experience,google_play,2019-05-24 23:23:18,0,0.9951945670012746,"You can't count on this app, the order was late and after one and half hour i called the restaurant they didn't even receive the order from zomato!! And this is not the 1st time the orders are late. And when i complained they didn't do anything!!!! This app is going from bad to worse not recommended at all!!"
app_experience,google_play,2025-10-04 18:50:01,2,0.9949646138963257,"I rated it 1 star because the chat option is completely useless. In my last three orders, I got wrong or smelly items, and still no one helped properly. I kept uploading images again and again, but they didn’t care at all. Such a pathetic service — I’m uninstalling Zomato right now. Never ordering from this stupid app again!"
app_experience,google_play,2026-03-09 03:09:04,0,0.9948166514924772,"zomato prshant and Vishnu the worst employer from we ordered from azeebo Hyderabad 999 combo and we got only 300 worth items , aazeebo the worst restaurant playing and making fool out of customers and Zomato employees are the worst eveaaaa they don't listen they just ask multiple questions and lastly ask to give feedback to restaurant, they don't care about customers they only care about their profile and statistics, disappointed and really awful behaviour from Prashant and Vishnu and zomatoo,"
app_experience,google_play,2020-08-02 22:40:29,0,0.9947595263719535,"Already paid but no order received. Restaurant number is not reachable. Zomato also does not respond on chat. I am sitting hungry money is stuck with them. Worst experience, very bad service by Zomato and the restaurant. If they would not deliver, why did they take the order and why did they take my money? I have screen shots saved where Zomato has not responded to me in half an hour. Which by the time am writing is approximately 45 mins. The order is now over 2 hours old."
competitor_comparison,google_play,2020-03-31 09:05:25,60,0.979315810955982,Don't buy gold. It's just a stupid way to make you spend more. Also the service provided by Zomato has gone done in the past few years. The chat takes customers for granted and doesn't provide with a solution. Go for swiggy super. A much better alternative and you always get your order before time. Doesn't know how to treat customers. Will make you wait for your own money Swiggy is better don't order from Zomato. Deactivate your account
competitor_comparison,google_play,2025-01-11 00:55:02,9,0.9692621455918372,"They don't really care about customer, I ordered one special lassi and one normal normal lassi of different sizes, but they sent me both same regular size, when I complained about this to zomato, they just keep on saying 'they've talked to restaurant and they have sent exact ordered item' , even i have sent them the photos of the items, soon, they gonna loose customers and swiggy will be on top."
competitor_comparison,google_play,2020-10-10 14:19:34,0,0.9646622914157681,Another case with zomato. Such horrible customer experience. Have been writing about my order where I paid a great amount as we had guests and they send the same mail. No doubt they don't have voice service as they know their service is horrible. Mails and chats lead to their same drafted reply with no solution at all. Please use swiggy instead.
competitor_comparison,google_play,2019-05-24 11:54:29,0,0.959428431086116,Disgusting services they are delivering. I don't know what the pathetic application they have. Always it takes wrong location whether you have entered the right location and the right address and ordered on that location before as well. I wasted my money so many times because of these unprofessional people only. Swiggy people are much better than zomato. Zomato is delivering really pathetic services. I suggest to use Swiggy over zomato.
competitor_comparison,google_play,2020-03-27 19:37:30,0,0.9527794083971358,Worst customer service. Chatting with Syed Taufeeq who didn't really understand what my issue is and was only sending back chat bot responses. I asked him to call me and understand the issue but he instead called the restaurant and told me everything was perfect. If its only the Restaurants which are right why do I even order from you. I could have directly ordered from the restaurant. Never the less Swiggy and Faasos are far better than this. Wouldn't recommend this to anyone use swiggy instead
