theme_final,platform,created_at,likes,predicted_positive_prob,text
app_experience,google_play,2026-02-15 01:37:21,0,0.9999639179099812,the best food ordering app with great discounts
app_experience,google_play,2020-12-29 21:08:49,0,0.9999373994338143,"Amazing app with great offers. Truly love this app... Best to order food when you travel to new places, helps you to identify and order best food from great places"
app_experience,google_play,2020-02-14 15:12:03,0,0.9999241941805995,It's amazing app for students like us... living away frm home.... always on time...great recommendations... thanks zomato...!! Keep up the good work😄
app_experience,google_play,2026-03-03 12:12:52,0,0.9999192491853539,Very user friendly amazing App. Keep it up guys. Happy with your services. All the Best to the Team Zomato.
app_experience,google_play,2025-11-22 19:35:11,0,0.9999154015972802,best app ever easy to use restaurant options are also very good 👍
competitor_comparison,google_play,2026-03-17 17:11:51,0,0.9999473190745323,better than swiggy great discounts
competitor_comparison,google_play,2021-03-21 01:26:36,0,0.9993760785886429,Great experience with Zomato. It's better than other food apps. Inexpensive and with great team to deliver on and before time . Amazing service and offers. Thank u Zomato and team
competitor_comparison,google_play,2025-12-28 11:55:15,0,0.9993393310189678,awesome. i felt more budget friendly than Swiggy. thank you so much Zomato 😀
competitor_comparison,google_play,2025-10-25 18:05:20,0,0.9991061917977739,very good experience ordering and many coupons and offers better than Swiggy
competitor_comparison,google_play,2023-10-09 14:30:04,0,0.9990903638121245,"I have been ordering food from Zomato since 2014, its always been a wonderful experience. Introduction of Zomato Gold and Blinkit also helps us to get wide range of items within a quick time and with Good doiscounted rates.. Keep up the good work.."
customer_support,google_play,2018-10-04 14:57:34,0,0.9997675979057667,"The best app for ordering food ☺️ Large Variety of restaurants/cuisines, Great offers, Quick response via chat support and many more reasons to love zomato 😊😊😊 Keep up the good work 👍"
customer_support,google_play,2024-09-05 12:52:35,0,0.9997516897629543,I love this app. Very Good selection of restaurants. Easy interface. Very fast response if any query. Very good dishes in very ecnomical budget. Thank you so much.
customer_support,google_play,2025-06-20 10:28:43,11,0.9997498619570117,"Zomato is a fantastic app for food lovers! It’s user-friendly, offers a wide variety of restaurant options, and makes ordering food or discovering new places super easy. The real-time tracking and reliable customer support add to the overall great experience. Highly recommended for quick and convenient food ordering"
customer_support,google_play,2026-01-07 22:30:30,0,0.999661916077848,Great app with amazing support
customer_support,google_play,2019-05-07 04:44:53,0,0.9996593884060587,Easy to order. Easy to find top rated dining places. Amazing offers. Reviews further help in finding the best cuisine around you.
delivery,google_play,2026-02-12 19:36:31,0,0.9999603240759385,great experience and best app for food delivery. great offers
delivery,google_play,2026-01-14 22:19:33,0,0.9999558721323832,i love this app it's the best food delivery app
delivery,google_play,2026-01-21 19:36:41,1,0.9999374970032533,It is a very good delivery app and we love this application.Zomato gives the best offers. Thanks for this application 😊
delivery,google_play,2026-03-29 14:54:34,0,0.9999369988326053,Best app for food delivery.far better than swiggy.
delivery,google_play,2021-06-03 23:02:06,0,0.9999205528054667,"Zomato is the best app for food delivery. Good customisation, choices and easy to use. Highly reliable and customer friendly."
food_quality,google_play,2026-01-04 22:21:10,0,0.9997308308429821,"a great experience, food quality always awesome,love this app"
food_quality,google_play,2019-06-19 18:18:14,0,0.9995103003261762,excellent and nice . food quality is awesome . and the app is very easy to use and understand . nice experience ..... five stars 🌟 🌟 🌟 🌟 🌟 from me . keep it up . best wishes ..........
food_quality,google_play,2019-01-23 22:54:51,0,0.99942526631722,zomato is very nice and helpful app for me.. I can order anything with much more offers than any other apps. Quality of food is also amazing.. Really loved zomato.. Its pocket friendly nd tasty tooo..😗😍😍
food_quality,google_play,2026-01-12 16:22:31,0,0.9992158221846317,Excellent App 👌👌 Best app for its quick service and food quality. I would like to give 100/100.
food_quality,google_play,2025-09-05 15:33:15,0,0.9990658130441614,"in my opinion zomato is a really best and helpful app. better than swiggy. it's been a year that I,m using zomato and the experiment was really great. my food have always been on time and quality of wood was also best. guys if you're craving something delicious than order from zomato"
order_issue,google_play,2025-03-28 23:40:41,2,0.9858753057815178,It is the best and top food ordering apps in whole India and I love how quick and fast they deliver their food but sometimes due to overloads of order in the resturant it sends us wrong order. But not the Zomato problen its the resturants.
order_issue,google_play,2025-11-20 01:42:45,1,0.9845369307041527,Literally the best platform for ordering food in India I'm using Zomato since very long time and other apps also but the service that zomato provide me is outstanding i never faced problem in zomato specially they are very supportive when you received wrong order or bad quality of food they helped me always. thanks a lot ZOMATO. Appreciation for best 🫶
